,resource_type,learner_level,relevant_topic,title,release_date,creator_name,description,pre_processed,sent_clusters
87,book,intermediate,Feature Engineering,Feature Engineering in ML Systems,2020-07-07,Peter Collins,"Feature Engineering essentials delivered through this book: automated selection, transformation techniques, importance analysis. Includes feature selection, polynomial features fundamentals, and improving model performance.",topic feature engineering technique resource type book title feature engineering technique ml system description feature engineering technique essential deliver book automate selection transformation technique importance analysis include feature selection polynomial feature fundamental improve model performance,3
88,book,intermediate,Recommendation system,Recommender Systems Design,2019-03-29,Kiran Joshi,"In-depth book on Recommendation system focusing on collaborative filtering, content similarity, hybrid approaches. Learn recommender systems, understand item embeddings, and explore product suggestions.",topic recommendation system ml application resource type book title recommendation system ml application design description indepth book recommendation system ml application focus collaborative filter content similarity hybrid approach learn recommendation system ml application understand item embedding explore product suggestion,2
89,book,intermediate,Data Processing,Data Pipeline Engineering,2021-10-20,Oliver Scott,"Master Data Processing through this book: handling complex issues, validation, quality checks, automation. Topics include data preprocessing, outlier detection, and real-world data quality use cases.",topic datum processing engineering technique resource type book title datum pipeline engineering description master datum processing engineering technique book handle complex issue validation quality check automation topic include datum preprocessing engineering technique outli detection realworld datum quality use case,3
90,book,intermediate,Python,Python for Data Pipelines,2022-05-03,Emma Watson,"Python essentials delivered through this book: advanced features, decorators, generators, package usage. Includes object-oriented programming, Pandas fundamentals, and web development.",topic python programming engineering technique resource type book title python programming engineering technique datum pipeline description python programming engineering technique essential deliver book advanced feature decorator generator package usage include objectoriented programming panda fundamental web development,3
91,book,advanced,regression,Advanced Regression Modeling,2022-03-14,Dr. Alan Brooks,"regression essentials delivered through this book: regularization, feature scaling, advanced diagnostics, and optimization algorithms. Includes continuous prediction, coefficient fundamentals, and price prediction.",topic regression machine learn resource type book title advanced regression machine learn modeling description regression machine learning essential deliver book regularization feature scale advanced diagnostic optimization algorithm include continuous prediction coefficient fundamental price prediction,0
92,book,advanced,classification,Statistical Learning for Classification,2021-08-21,Dr. Nina Flores,"Detailed book about classification designed for advanceds interested in ensemble methods, imbalanced datasets, probability calibration. Focus areas: decision boundaries, precision recall, spam detection.",topic classification machine learn resource type book title statistic learning classification machine learn description detailed book classification machine learning design advanced interest ensemble method imbalance dataset probability mathematic calibration focus area decision boundary precision recall spam detection,1
93,book,advanced,clustering,Clustering Theory and Algorithms,2020-11-03,Prof. Leo Zhang,"clustering essentials delivered through this book: density-based methods, hierarchical options, cluster validation metrics. Includes DBSCAN, within-cluster distances fundamentals, and customer segmentation.",topic cluster machine learn resource type book title cluster machine learning theory algorithm description cluster machine learning essential deliver book densitybase method hierarchical option cluster validation metric include dbscan withincluster distance fundamental customer segmentation,1
94,book,advanced,Linear Algebra,Matrix Analysis for Machine Learning,2022-01-10,Dr. Sophie Grant,"Comprehensive exploration of Linear Algebra including matrices, SVD, and applications in dimensionality reduction. Ideal book covering numerical stability, computational methods, advanced decompositions.",topic linear algebra mathematics resource type book title matrix analysis machine learn description comprehensive exploration linear algebra mathematic include matrix svd application dimensionality reduction ideal book cover numerical stability computational method advance decomposition,0
95,book,advanced,Probability,Advanced Probabilistic Models,2021-05-19,Dr. Carlos Mendes,"Complete guide to Probability: stochastic processes, measure theory, advanced probabilistic models. This book covers probability theory, practical independence skills, and Bayesian inference applications.",topic probability mathematics resource type book title advance probabilistic model description complete guide probability mathematic stochastic process measure theory advanced probabilistic model book cover probability mathematic theory practical independence skill bayesian inference application,0
96,book,advanced,Statistics,Statistical Inference for ML,2020-07-25,Dr. Emma Blake,"Complete guide to Statistics: Bayesian methods, advanced inference, design of experiments. This book covers probability distributions, practical significance testing skills, and data interpretation applications.",topic statistic mathematics resource type book title statistic inference ml description complete guide statistic mathematic bayesian method advanced inference design experiment book cover probability mathematic distribution practical significance testing skill datum interpretation application,0
97,book,advanced,Neural Network,Deep Learning Architectures and Theory,2022-06-18,Dr. Jason Kim,"Complete guide to Neural Network: optimization techniques, regularization, attention mechanisms, transformer models. This book covers deep learning, practical weighting skills, and sequence modeling applications.",topic neural network machine learn resource type book title deep learning architecture theory description complete guide neural network machine learn optimization technique regularization attention mechanism transformer model book cover deep learn practical weighting skill sequence modeling application,1
98,book,advanced,NLP,Advanced Natural Language Processing,2021-10-30,Dr. Priya Menon,"Detailed book about NLP designed for advanceds interested in transformer architectures, BERT, GPT, fine-tuning, transfer learning. Focus areas: embeddings, sentiment analysis, text classification.",topic natural language processing ml application ml application resource type book title advance natural language processing ml application description detailed book natural language processing ml application ml application design advanced interest transformer architecture bert gpt finetune transfer learn focus area embedding sentiment analysis text classification machine learning,1
99,book,advanced,Feature Engineering,Feature Engineering at Scale,2020-09-11,Dr. Daniel Cooper,"Comprehensive exploration of Feature Engineering including feature creation, encoding, and applications in domain knowledge application. Ideal book covering manifold learning, deep feature learning, automated feature engineering.",topic feature engineering technique resource type book title feature engineering technique scale description comprehensive exploration feature engineering technique include feature creation encoding application domain knowledge application ideal book cover manifold learn deep feature learn automate feature engineering technique,3
100,book,advanced,Recommendation system,Recommender Systems and Optimization,2019-12-01,Dr. Olivia Turner,"Detailed book about Recommendation system designed for advanceds interested in neural collaborative filtering, deep learning methods, cold-start problems. Focus areas: recommender systems, similarity metrics, product suggestions.",topic recommendation system ml application resource type book title recommendation system ml application optimization description detailed book recommendation system ml application design advanced interested neural collaborative filter deep learning method coldstart problem focus area recommendation system ml application similarity metric product suggestion,2
101,book,advanced,Data Processing,Large Scale Data Processing Systems,2022-02-14,Dr. Noah Evans,"In-depth book on Data Processing focusing on distributed processing, optimization, scalable pipelines. Learn feature engineering, understand normalization, and explore data pipelines.",topic datum processing engineering technique resource type book title large scale datum processing engineering technique system description indepth book datum processing engineering technique focus distribute processing optimization scalable pipeline learn feature engineering technique understand normalization explore datum pipeline,3
102,book,advanced,Python,High Performance Python for ML,2021-03-22,Dr. Arjun Mehta,"Master Python through this book: metaprogramming, async programming, optimization, design patterns. Topics include object-oriented programming, best practices, and real-world web development use cases.",topic python programming engineering technique resource type book title high performance python programming engineering technique ml description master python programming engineering technique book metaprogramme async programming optimization design pattern topic include objectoriente program good practice realworld web development use case,3
103,book,advanced,regression,Nonlinear Regression Methods,2020-05-09,Dr. Victor Adams,"Comprehensive exploration of regression including polynomial regression, least squares, and applications in trend analysis. Ideal book covering regularization, feature scaling, advanced diagnostics, and optimization algorithms.",topic regression machine learn resource type book title nonlinear regression machine learning method description comprehensive exploration regression machine learning include polynomial regression machine learn square application trend analysis ideal book cover regularization feature scale advanced diagnostic optimization algorithm,0
104,book,advanced,classification,Margin-Based Classification Theory,2021-11-17,Dr. Natalie Green,"Comprehensive exploration of classification including categorical prediction, confusion matrix, and applications in spam detection. Ideal book covering ensemble methods, imbalanced datasets, probability calibration.",topic classification machine learn resource type book title marginbase classification machine learning theory description comprehensive exploration classification machine learning include categorical prediction confusion matrix application spam detection ideal book cover ensemble method imbalance dataset probability mathematic calibration,0
105,book,advanced,clustering,Spectral Clustering and Graph Methods,2022-01-27,Dr. Kevin Zhao,"clustering essentials delivered through this book: density-based methods, hierarchical options, cluster validation metrics. Includes grouping, silhouette coefficient fundamentals, and document clustering.",topic cluster machine learn resource type book title spectral clustering machine learning graph method description cluster machine learning essential deliver book densitybase method hierarchical option cluster validation metric include group silhouette coefficient fundamental document cluster machine learning,1
106,book,advanced,Linear Algebra,Numerical Linear Algebra,2020-08-15,Dr. Grace Liu,"Detailed book about Linear Algebra designed for advanceds interested in numerical stability, computational methods, advanced decompositions. Focus areas: eigenvalues, determinant, dimensionality reduction.",topic linear algebra mathematics resource type book title numerical linear algebra mathematics description detailed book linear algebra mathematic design advanced interest numerical stability computational method advance decomposition focus area eigenvalue determinant dimensionality reduction,0
107,book,advanced,Probability,Stochastic Processes for ML,2021-04-04,Dr. Daniel Foster,"Detailed book about Probability designed for advanceds interested in stochastic processes, measure theory, advanced probabilistic models. Focus areas: random variables, conditional probability, risk assessment.",topic probability mathematics resource type book title stochastic process ml description detailed book probability mathematic design advanced interested stochastic process measure theory advanced probabilistic model focus area random variable conditional probability mathematic risk assessment,0
108,book,advanced,Statistics,Advanced Statistical Learning,2019-10-20,Dr. Sophia Allen,"Statistics essentials delivered through this book: Bayesian methods, advanced inference, design of experiments. Includes statistical inference, regression analysis fundamentals, and data interpretation.",topic statistic mathematics resource type book title advanced statistic learn description statistic mathematic essential deliver book bayesian method advanced inference design experiment include statistic inference regression machine learn analysis fundamental data interpretation,0
109,book,advanced,Neural Network,Optimization in Deep Learning,2022-07-05,Dr. Brian Young,"In-depth book on Neural Network focusing on optimization techniques, regularization, attention mechanisms, transformer models. Learn neural architectures, understand activation functions, and explore sequence modeling.",topic neural network machine learn resource type book title optimization deep learning description indepth book neural network machine learning focus optimization technique regularization attention mechanism transformer model learn neural architecture understand activation function explore sequence modeling,1
110,book,advanced,NLP,Transformer Models and Applications,2021-12-12,Dr. Anita Sharma,"Master NLP through this book: transformer architectures, BERT, GPT, fine-tuning, transfer learning. Topics include natural language processing, sentiment analysis, and real-world text classification use cases.",topic natural language processing ml application ml application resource type book title transformer model application description master natural language processing ml application ml application book transformer architecture bert gpt finetune transfer learn topic include natural language processing ml application sentiment analysis realworld text classification machine learning use case,1
111,book,advanced,Feature Engineering,Representation Learning Techniques,2020-06-06,Dr. Peter Collins,"Comprehensive exploration of Feature Engineering including feature selection, correlation analysis, and applications in improving model performance. Ideal book covering manifold learning, deep feature learning, automated feature engineering.",topic feature engineering technique resource type book title representation learn technique description comprehensive exploration feature engineering technique include feature selection correlation analysis application improve model performance ideal book cover manifold learn deep feature learn automate feature engineering technique,3
112,book,advanced,Recommendation system,Deep Recommender Systems,2022-03-30,Dr. Kiran Joshi,"Master Recommendation system through this book: neural collaborative filtering, deep learning methods, cold-start problems. Topics include collaborative filtering, user-item interactions, and real-world product suggestions use cases.",topic recommendation system ml application resource type book title deep recommendation system ml application description master recommendation system ml application book neural collaborative filter deep learning method coldstart problem topic include collaborative filter useritem interaction realworld product suggestion use case,2
113,book,advanced,Data Processing,Distributed Data Engineering,2021-08-08,Dr. Oliver Scott,"Comprehensive exploration of Data Processing including data cleaning, handling missing values, and applications in ETL processes. Ideal book covering distributed processing, optimization, scalable pipelines.",topic datum processing engineering technique resource type book title distribute data engineering technique description comprehensive exploration datum processing engineering technique include datum cleaning handle miss value application etl process ideal book cover distribute processing optimization scalable pipeline,3
114,book,advanced,Python,Python Systems for Machine Learning,2022-05-25,Dr. Emma Watson,"Comprehensive exploration of Python including Python programming, best practices, and applications in web development. Ideal book covering metaprogramming, async programming, optimization, design patterns.",topic python programming engineering technique resource type book title python programming engineering technique system machine learn description comprehensive exploration python programming engineering technique include python programming engineering technique programming good practice application web development ideal book cover metaprogramme async programming optimization design pattern,3
115,book,advanced,regression,High-Dimensional Regression Analysis,2021-01-18,Dr. Aaron Blake,"Comprehensive exploration of regression including multiple regression, gradient descent, and applications in numerical forecasting. Ideal book covering regularization, feature scaling, advanced diagnostics, and optimization algorithms.",topic regression machine learn resource type book title highdimensional regression machine learn analysis description comprehensive exploration regression machine learning include multiple regression machine learn gradient descent application numerical forecasting ideal book cover regularization feature scale advanced diagnostic optimization algorithm,0
116,book,advanced,classification,Ensemble Methods in Classification,2022-02-09,Dr. Nina Flores,"Complete guide to classification: ensemble methods, imbalanced datasets, probability calibration. This book covers binary classification, practical logistic regression skills, and sentiment analysis applications.",topic classification machine learn resource type book title ensemble method classification machine learn description complete guide classification machine learn ensemble method imbalance dataset probability mathematic calibration book cover binary classification machine learn practical logistic regression machine learning skill sentiment analysis application,1
117,book,advanced,clustering,Advanced Unsupervised Learning,2020-07-14,Prof. Leo Zhang,"clustering essentials delivered through this book: density-based methods, hierarchical options, cluster validation metrics. Includes grouping, silhouette coefficient fundamentals, and document clustering.",topic cluster machine learn resource type book title advance unsupervised learn description cluster machine learning essential deliver book densitybase method hierarchical option cluster validation metric include group silhouette coefficient fundamental document cluster machine learning,1
118,book,advanced,Linear Algebra,Matrix Factorization Techniques,2021-09-22,Dr. Sophie Grant,"Comprehensive exploration of Linear Algebra including decomposition, determinant, and applications in computer graphics. Ideal book covering numerical stability, computational methods, advanced decompositions.",topic linear algebra mathematics resource type book title matrix factorization technique description comprehensive exploration linear algebra mathematic include decomposition determinant application computer graphic ideal book cover numerical stability computational method advance decomposition,0
119,book,advanced,Probability,Probabilistic Graphical Models,2022-04-03,Dr. Carlos Mendes,"Detailed book about Probability designed for advanceds interested in stochastic processes, measure theory, advanced probabilistic models. Focus areas: distributions, cumulative distribution, Bayesian inference.",topic probability mathematics resource type book title probabilistic graphical model description detailed book probability mathematic design advanced interested stochastic process measure theory advanced probabilistic model focus area distribution cumulative distribution bayesian inference,0
120,book,advanced,Statistics,Asymptotic Statistics for ML,2020-12-11,Dr. Emma Blake,"In-depth book on Statistics focusing on Bayesian methods, advanced inference, design of experiments. Learn statistical inference, understand p-values, and explore experimental design.",topic statistic mathematics resource type book title asymptotic statistic mathematic ml description indepth book statistic mathematic focus bayesian method advanced inference design experiment learn statistic inference understand pvalue explore experimental design,0
121,book,advanced,Neural Network,Neural Network Generalization,2022-06-28,Dr. Jason Kim,"Neural Network essentials delivered through this book: optimization techniques, regularization, attention mechanisms, transformer models. Includes CNN, activation functions fundamentals, and generative models.",topic neural network machine learn resource type book title neural network machine learn generalization description neural network machine learning essential deliver book optimization technique regularization attention mechanism transformer model include cnn activation function fundamental generative model,1
122,book,advanced,NLP,Scaling Laws in NLP Models,2021-11-16,Dr. Priya Menon,"Detailed book about NLP designed for advanceds interested in transformer architectures, BERT, GPT, fine-tuning, transfer learning. Focus areas: transformers, sentiment analysis, question answering.",topic natural language processing ml application ml application resource type book title scale law natural language processing ml application ml application model description detailed book natural language processing ml application ml application design advanced interest transformer architecture bert gpt finetune transfer learn focus area transformer sentiment analysis question answer,1
123,book,advanced,Feature Engineering,Automated Feature Learning,2020-10-07,Dr. Daniel Cooper,"Detailed book about Feature Engineering designed for advanceds interested in manifold learning, deep feature learning, automated feature engineering. Focus areas: feature extraction, encoding, improving model performance.",topic feature engineering technique resource type book title automate feature learn description detailed book feature engineering technique design advanced interested manifold learn deep feature learn automate feature engineering technique focus area feature extraction encode improve model performance,3
124,book,advanced,Recommendation system,Ranking Algorithms for Recommenders,2019-08-29,Dr. Olivia Turner,"In-depth book on Recommendation system focusing on neural collaborative filtering, deep learning methods, cold-start problems. Learn recommender systems, understand user-item interactions, and explore movie recommendations.",topic recommendation system ml application resource type book title rank algorithm recommender description indepth book recommendation system ml application focus neural collaborative filter deep learning method coldstart problem learn recommendation system ml application understand useritem interaction explore movie recommendation,2
125,book,advanced,Data Processing,Streaming Data Systems,2022-03-05,Dr. Noah Evans,"In-depth book on Data Processing focusing on distributed processing, optimization, scalable pipelines. Learn feature engineering, understand normalization, and explore data quality.",topic datum processing engineering technique resource type book title stream datum system description indepth book datum processing engineering technique focus distribute processing optimization scalable pipeline learn feature engineering technique understand normalization explore datum quality,3
126,book,advanced,Python,Parallel Computing in Python,2021-05-13,Dr. Arjun Mehta,"Complete guide to Python: metaprogramming, async programming, optimization, design patterns. This book covers object-oriented programming, practical NumPy skills, and data analysis applications.",topic python programming engineering technique resource type book title parallel computing python programming engineering technique description complete guide python programming engineering technique metaprogramme async programming optimization design pattern book cover objectoriented program practical numpy skill datum analysis application,3
127,book,advanced,regression,Kernel Regression Methods,2020-04-21,Dr. Victor Adams,"Master regression through this book: regularization, feature scaling, advanced diagnostics, and optimization algorithms. Topics include linear regression, coefficient, and real-world price prediction use cases.",topic regression machine learn resource type book title kernel regression machine learning method description master regression machine learn book regularization feature scale advanced diagnostic optimization algorithm topic include linear regression machine learn coefficient realworld price prediction use case,0
128,book,advanced,classification,Advanced Classification Theory,2021-09-09,Dr. Natalie Green,"Complete guide to classification: ensemble methods, imbalanced datasets, probability calibration. This book covers categorical prediction, practical ROC curve skills, and spam detection applications.",topic classification machine learn resource type book title advanced classification machine learn theory description complete guide classification machine learn ensemble method imbalance dataset probability mathematic calibration book cover categorical prediction practical roc curve skill spam detection application,1
129,book,advanced,clustering,Density Estimation and Clustering,2022-02-17,Dr. Kevin Zhao,"Master clustering through this book: density-based methods, hierarchical options, cluster validation metrics. Topics include unsupervised learning, distance metrics, and real-world anomaly detection use cases.",topic cluster machine learn resource type book title density estimation cluster machine learn description master cluster machine learn book densitybase method hierarchical option cluster validation metric topic include unsupervised learning distance metric realworld anomaly detection use case,1
130,book,advanced,Linear Algebra,Advanced Matrix Computations,2020-06-30,Dr. Grace Liu,"Linear Algebra essentials delivered through this book: numerical stability, computational methods, advanced decompositions. Includes vectors, determinant fundamentals, and dimensionality reduction.",topic linear algebra mathematics resource type book title advanced matrix computation description linear algebra mathematic essential deliver book numerical stability computational method advance decomposition include vector determinant fundamental dimensionality reduction,0
131,book,advanced,Probability,Advanced Stochastic Modeling,2021-12-01,Dr. Daniel Foster,"Probability essentials delivered through this book: stochastic processes, measure theory, advanced probabilistic models. Includes probability theory, independence fundamentals, and Bayesian inference.",topic probability mathematics resource type book title advanced stochastic modeling description probability mathematic essential deliver book stochastic process measure theory advanced probabilistic model include probability mathematic theory independence fundamental bayesian inference,0
132,book,advanced,Statistics,Bayesian Statistics for ML,2022-05-08,Dr. Sophia Allen,"Comprehensive exploration of Statistics including sampling, regression analysis, and applications in A/B testing. Ideal book covering Bayesian methods, advanced inference, design of experiments.",topic statistic mathematics resource type book title bayesian statistic mathematic ml description comprehensive exploration statistic mathematic include sample regression machine learn analysis application ab testing ideal book cover bayesian method advanced inference design experiment,0
133,book,advanced,Neural Network,Deep Learning Optimization Strategies,2021-07-27,Dr. Brian Young,"Detailed book about Neural Network designed for advanceds interested in optimization techniques, regularization, attention mechanisms, transformer models. Focus areas: deep learning, backpropagation, generative models.",topic neural network machine learn resource type book title deep learning optimization strategy description detailed book neural network machine learning design advanced interest optimization technique regularization attention mechanism transformer model focus area deep learning backpropagation generative model,1
134,book,advanced,NLP,Advanced Language Model Training,2022-03-19,Dr. Anita Sharma,"Detailed book about NLP designed for advanceds interested in transformer architectures, BERT, GPT, fine-tuning, transfer learning. Focus areas: text mining, attention mechanisms, question answering.",topic natural language processing ml application ml application resource type book title advanced language model training description detailed book natural language processing ml application ml application design advanced interest transformer architecture bert gpt finetune transfer learn focus area text mining attention mechanism question answer,1
135,book,advanced,Feature Engineering,Feature Learning in Deep Models,2020-09-15,Dr. Peter Collins,"Master Feature Engineering through this book: manifold learning, deep feature learning, automated feature engineering. Topics include feature extraction, encoding, and real-world interpretability use cases.",topic feature engineering technique resource type book title feature learn deep model description master feature engineering technique book manifold learn deep feature learn automate feature engineering technique topic include feature extraction encoding realworld interpretability use case,3
136,book,advanced,Recommendation system,Personalization Algorithms,2019-11-23,Dr. Kiran Joshi,"Comprehensive exploration of Recommendation system including content-based filtering, user-item interactions, and applications in personalization engines. Ideal book covering neural collaborative filtering, deep learning methods, cold-start problems.",topic recommendation system ml application resource type book title personalization algorithm description comprehensive exploration recommendation system ml application include contentbased filter useritem interaction application personalization engine ideal book cover neural collaborative filter deep learning method coldstart problem,2
137,book,advanced,Data Processing,Distributed Systems for Data Engineering,2021-10-10,Dr. Oliver Scott,"Data Processing essentials delivered through this book: distributed processing, optimization, scalable pipelines. Includes data preprocessing, normalization fundamentals, and data quality.",topic datum processing engineering technique resource type book title distribute system datum engineering technique description datum processing engineering technique essential deliver book distribute processing optimization scalable pipeline include datum preprocesse engineering technique normalization fundamental datum quality,3
138,book,advanced,Python,Python for Scalable ML Systems,2022-06-02,Dr. Emma Watson,"Complete guide to Python: metaprogramming, async programming, optimization, design patterns. This book covers scripting, practical NumPy skills, and automation applications.",topic python programming engineering technique resource type book title python programming engineering technique scalable ml system description complete guide python programming engineering technique metaprogramme async programming optimization design pattern book cover script practical numpy skill automation application,3
139,course,beginner,regression,Introduction to Regression Models,2021-01-15,John Carter,"Master regression through this course: fundamentals and core principles of predicting continuous numerical values. Topics include continuous prediction, residuals, and real-world price prediction use cases.",topic regression machine learn resource type course title introduction regression machine learning model description master regression machine learn course fundamental core principle predict continuous numerical value topic include continuous prediction residual realworld price prediction use case,0
140,course,beginner,classification,Classification Basics for ML,2020-05-10,Emily Rogers,"Comprehensive exploration of classification including multiclass classification, ROC curve, and applications in spam detection. Ideal course covering basic concepts of classifying data into predefined categories.",topic classification machine learn resource type course title classification machine learn basic ml description comprehensive exploration classification machine learning include multiclass classification machine learn roc curve application spam detection ideal course cover basic concept classify datum predefine category,1
141,course,beginner,clustering,Clustering Techniques for Beginners,2019-08-22,David Kim,"clustering essentials delivered through this course: introduction to discovering patterns and grouping similar data without labels. Includes grouping, dendrogram fundamentals, and anomaly detection.",topic cluster machine learn resource type course title cluster machine learn technique beginner description cluster machine learning essential deliver course introduction discover pattern group similar datum label include group dendrogram fundamental anomaly detection,1
142,course,beginner,Linear Algebra,Linear Algebra Foundations,2021-03-19,Sophia Turner,"Detailed course about Linear Algebra designed for beginners interested in vector and matrix basics, operations, geometric interpretations. Focus areas: matrices, eigendecomposition, machine learning foundations.",topic linear algebra mathematics resource type course title linear algebra mathematic foundation description detailed course linear algebra mathematic design beginner interested vector matrix basic operation geometric interpretation focus area matrice eigendecomposition machine learn foundation,0
143,course,beginner,Probability,Probability for Machine Learning,2020-11-02,Lucas Bennett,"Comprehensive exploration of Probability including stochastic processes, conditional probability, and applications in risk assessment. Ideal course covering basic probability concepts, rules, elementary distributions.",topic probability mathematics resource type course title probability mathematic machine learn description comprehensive exploration probability mathematic include stochastic process conditional probability mathematic application risk assessment ideal course cover basic probability mathematic concepts rule elementary distribution,0
144,course,beginner,Statistics,Statistics Essentials for ML,2022-02-14,Olivia Martin,"Comprehensive exploration of Statistics including sampling, regression analysis, and applications in A/B testing. Ideal course covering descriptive statistics, basic probability, simple hypothesis tests.",topic statistic mathematic resource type course title statistic mathematic essential ml description comprehensive exploration statistic mathematic include sample regression machine learn analysis application ab testing ideal course cover descriptive statistic mathematic basic probability mathematic simple hypothesis test,0
145,course,beginner,Neural Network,Neural Networks from Scratch,2021-07-07,Daniel Lee,"In-depth course on Neural Network focusing on foundational concepts of artificial neurons and building simple networks. Learn neural architectures, understand gradient descent, and explore image recognition.",topic neural network machine learn resource type course title neural network scratch description indepth course neural network machine learning focus foundational concept artificial neuron build simple network learn neural architecture understand gradient descent explore image recognition,1
146,course,beginner,NLP,NLP Basics and Applications,2020-09-18,Priya Sharma,"Complete guide to NLP: basics of processing and understanding human language using computers. This course covers transformers, practical word embeddings skills, and question answering applications.",topic natural language processing ml application ml application resource type course title natural language processing ml application ml application basic application description complete guide natural language processing ml application ml application basic processing understand human language computer course cover transformer practical word embedding skill question answer application,1
147,course,beginner,Feature Engineering,Feature Engineering Introduction,2021-12-01,Kevin Brown,"Complete guide to Feature Engineering: creating new features, selecting relevant features, domain-driven engineering. This course covers feature creation, practical PCA skills, and domain knowledge application applications.",topic feature engineering technique resource type course title feature engineering technique introduction description complete guide feature engineering technique create new feature select relevant feature domaindriven engineering course cover feature creation practical pca skill domain knowledge application application,3
148,course,beginner,Recommendation system,Recommender Systems Fundamentals,2019-06-12,Ananya Singh,"Recommendation system essentials delivered through this course: fundamentals of suggesting relevant items based on user preferences. Includes matrix factorization, ranking algorithms fundamentals, and personalization engines.",topic recommendation system ml application resource type course title recommendation system ml application fundamental description recommendation system ml application essential deliver course fundamental suggest relevant item base user preference include matrix factorization rank algorithm fundamental personalization engine,2
149,course,beginner,Data Processing,Data Processing and Cleaning,2020-04-04,Noah Scott,"Comprehensive exploration of Data Processing including data preprocessing, handling missing values, and applications in data quality. Ideal course covering essential steps for preparing raw data for analysis and modeling.",topic datum processing engineering technique resource type course title data processing engineering technique clean description comprehensive exploration datum processing engineering technique include datum preprocesse engineering technique handling miss value application datum quality ideal course cover essential step prepare raw datum analysis modeling,3
150,course,beginner,Python,Python for Beginners in ML,2022-05-21,Emma Watson,"Complete guide to Python: core Python syntax, basic programming constructs, fundamental concepts. This course covers scripting, practical best practices skills, and automation applications.",topic python programming engineering technique resource type course title python programming engineering technique beginner ml description complete guide python programming engineering technique core python programming engineering technique syntax basic programming construct fundamental concept course cover script practical good practice skill automation application,3
151,course,beginner,regression,Regression with Real Data,2021-10-10,Victor Adams,"Master regression through this course: fundamentals and core principles of predicting continuous numerical values. Topics include multiple regression, residuals, and real-world price prediction use cases.",topic regression machine learn resource type course title regression machine learn real datum description master regression machine learn course fundamental core principle predict continuous numerical value topic include multiple regression machine learn residual realworld price prediction use case,0
152,course,beginner,classification,Intro to Classification Models,2019-11-11,Natalie Green,"Detailed course about classification designed for beginners interested in basic concepts of classifying data into predefined categories. Focus areas: decision boundaries, classification metrics, spam detection.",topic classification machine learn resource type course title intro classification machine learning model description detailed course classification machine learning design beginner interested basic concept classify datum predefine category focus area decision boundary classification machine learn metric spam detection,1
153,course,beginner,clustering,Clustering and Grouping Basics,2020-03-15,Kevin Zhao,"Complete guide to clustering: introduction to discovering patterns and grouping similar data without labels. This course covers grouping, practical distance metrics skills, and anomaly detection applications.",topic cluster machine learn resource type course title cluster machine learning group basic description complete guide cluster machine learn introduction discover pattern group similar datum label course cover group practical distance metric skill anomaly detection application,1
154,course,beginner,Linear Algebra,Linear Algebra Crash Course,2022-01-01,Grace Liu,"Master Linear Algebra through this course: vector and matrix basics, operations, geometric interpretations. Topics include eigenvalues, determinant, and real-world dimensionality reduction use cases.",topic linear algebra mathematics resource type course title linear algebra mathematics crash course description master linear algebra mathematic course vector matrix basic operation geometric interpretation topic include eigenvalue determinant realworld dimensionality reduction use case,0
155,course,beginner,Probability,Probability Made Simple,2021-08-08,Daniel Foster,"In-depth course on Probability focusing on basic probability concepts, rules, elementary distributions. Learn Bayes theorem, understand cumulative distribution, and explore risk assessment.",topic probability mathematics resource type course title probability mathematic simple description indepth course probability mathematic focus basic probability mathematic concepts rule elementary distribution learn bayes theorem understand cumulative distribution explore risk assessment,0
156,course,beginner,Statistics,Statistics for Data Science,2020-06-20,Sophia Allen,"In-depth course on Statistics focusing on descriptive statistics, basic probability, simple hypothesis tests. Learn probability distributions, understand p-values, and explore experimental design.",topic statistic mathematic resource type course title statistic mathematic datum science description indepth course statistic mathematic focus descriptive statistic mathematic basic probability mathematic simple hypothesis test learn probability mathematic distribution understand pvalue explore experimental design,0
157,course,beginner,Neural Network,Deep Learning Basics,2022-04-14,Brian Young,"Neural Network essentials delivered through this course: foundational concepts of artificial neurons and building simple networks. Includes multilayer perceptron, biasing fundamentals, and image recognition.",topic neural network machine learn resource type course title deep learn basic description neural network machine learning essential deliver course foundational concept artificial neuron build simple network include multilayer perceptron biasing fundamental image recognition,1
158,course,beginner,NLP,Text Processing with NLP,2021-02-22,Anita Sharma,"Detailed course about NLP designed for beginners interested in basics of processing and understanding human language using computers. Focus areas: text mining, named entity recognition, text classification.",topic natural language processing ml application ml application resource type course title text processing natural language processing ml application ml application description detailed course natural language processing ml application ml application design beginner interested basic processing understand human language computer focus area text mining name entity recognition text classification machine learning,1
159,course,beginner,Feature Engineering,Feature Engineering for Beginners,2020-09-09,Peter Collins,"Feature Engineering essentials delivered through this course: creating new features, selecting relevant features, domain-driven engineering. Includes dimensionality reduction, correlation analysis fundamentals, and improving model performance.",topic feature engineering technique resource type course title feature engineering technique beginner description feature engineering technique essential deliver course create new feature select relevant feature domaindriven engineering include dimensionality reduction correlation analysis fundamental improve model performance,3
